Q_1,Q_2,Q_3,X_e,Y_e,Theta_e
0.0,-180.0,-90.0,2.77,1.95,-270.0
1.0,-179.0,-89.0,-1.88,-0.14,-267.0
2.0,-178.0,-88.0,3.15,1.47,-264.0
3.0,-177.0,-87.0,-4.62,2.65,-261.0
4.0,-176.0,-86.0,-0.87,-3.69,-258.0
5.0,-175.0,-85.0,0.72,-1.6,-255.0
6.0,-174.0,-84.0,3.33,0.19,-252.0
7.0,-173.0,-83.0,-1.62,1.8,-249.0
8.0,-172.0,-82.0,2.47,-0.84,-246.0
9.0,-171.0,-81.0,-2.32,4.56,-243.0
10.0,-170.0,-80.0,-2.98,-3.42,-240.0
11.0,-169.0,-79.0,0.84,-1.63,-237.0
12.0,-168.0,-78.0,2.73,-1.31,-234.0
13.0,-167.0,-77.0,0.0,2.96,-231.0
14.0,-166.0,-76.0,0.53,-1.83,-228.0
15.0,-165.0,-75.0,0.61,4.59,-225.0
16.0,-164.0,-74.0,-4.79,-1.64,-222.0
17.0,-163.0,-73.0,0.84,-2.33,-219.0
18.0,-162.0,-72.0,1.63,-1.91,-216.0
19.0,-161.0,-71.0,1.98,2.65,-213.0
20.0,-160.0,-70.0,-1.35,-1.07,-210.0
21.0,-159.0,-69.0,2.73,2.81,-207.0
22.0,-158.0,-68.0,-5.18,1.16,-204.0
23.0,-157.0,-67.0,0.0,-3.34,-201.0
24.0,-156.0,-66.0,0.85,-1.76,-198.0
25.0,-155.0,-65.0,3.2,1.16,-195.0
26.0,-154.0,-64.0,-1.96,0.79,-192.0
27.0,-153.0,-63.0,3.05,0.29,-189.0
28.0,-152.0,-62.0,-3.71,3.74,-186.0
29.0,-151.0,-61.0,-1.82,-3.74,-183.0
30.0,-150.0,-60.0,0.74,-1.53,-180.0
31.0,-149.0,-59.0,3.17,-0.6,-177.0
32.0,-148.0,-58.0,-0.98,2.5,-174.0
33.0,-147.0,-57.0,1.64,-1.52,-171.0
34.0,-146.0,-56.0,-0.94,4.83,-168.0
35.0,-145.0,-55.0,-3.94,-2.76,-165.0
36.0,-144.0,-54.0,0.91,-1.88,-162.0
37.0,-143.0,-53.0,2.22,-1.71,-159.0
38.0,-142.0,-52.0,0.96,3.0,-156.0
39.0,-141.0,-51.0,-0.45,-1.67,-153.0
40.0,-140.0,-50.0,1.79,3.93,-150.0
41.0,-139.0,-49.0,-5.2,-0.39,-147.0
42.0,-138.0,-48.0,0.58,-2.82,-144.0
43.0,-137.0,-47.0,1.19,-1.9,-141.0
44.0,-136.0,-46.0,2.69,2.05,-138.0
45.0,-135.0,-45.0,-1.84,-0.26,-135.0
46.0,-134.0,-44.0,3.13,1.63,-132.0
47.0,-133.0,-43.0,-4.71,2.48,-129.0
48.0,-132.0,-42.0,-0.75,-3.66,-126.0
49.0,-131.0,-41.0,0.72,-1.61,-123.0
50.0,-130.0,-40.0,3.34,0.3,-120.0
51.0,-129.0,-39.0,-1.68,1.69,-117.0
52.0,-128.0,-38.0,2.56,-0.73,-114.0
53.0,-127.0,-37.0,-2.5,4.49,-111.0
54.0,-126.0,-36.0,-2.84,-3.48,-108.0
55.0,-125.0,-35.0,0.83,-1.61,-105.0
56.0,-124.0,-34.0,2.79,-1.24,-102.0
57.0,-123.0,-33.0,-0.12,2.92,-99.0
58.0,-122.0,-32.0,0.66,-1.82,-96.0
59.0,-121.0,-31.0,0.44,4.65,-93.0
60.0,-120.0,-30.0,-4.71,-1.79,-90.0
61.0,-119.0,-29.0,0.86,-2.27,-87.0
62.0,-118.0,-28.0,1.69,-1.9,-84.0
63.0,-117.0,-27.0,1.87,2.71,-81.0
64.0,-116.0,-26.0,-1.26,-1.16,-78.0
65.0,-115.0,-25.0,2.65,2.95,-75.0
66.0,-114.0,-24.0,-5.21,0.98,-72.0
67.0,-113.0,-23.0,0.09,-3.29,-69.0
68.0,-112.0,-22.0,0.88,-1.78,-66.0
69.0,-111.0,-21.0,3.16,1.27,-63.0
70.0,-110.0,-20.0,-1.97,0.67,-60.0
71.0,-109.0,-19.0,3.09,0.44,-57.0
72.0,-108.0,-18.0,-3.85,3.61,-54.0
73.0,-107.0,-17.0,-1.69,-3.75,-51.0
74.0,-106.0,-16.0,0.73,-1.54,-48.0
75.0,-105.0,-15.0,3.2,-0.5,-45.0
76.0,-104.0,-14.0,-1.08,2.42,-42.0
77.0,-103.0,-13.0,1.77,-1.45,-39.0
78.0,-102.0,-12.0,-1.12,4.82,-36.0
79.0,-101.0,-11.0,-3.82,-2.87,-33.0
80.0,-100.0,-10.0,0.9,-1.84,-30.0
81.0,-99.0,-9.0,2.29,-1.67,-27.0
82.0,-98.0,-8.0,0.83,3.01,-24.0
